s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
202.1275769, 3715.7104205, 73726.6953268, 2.0414184, -0.0159786, 5.0000000, 0.0000000
202.6278927, 3715.4835570, 73727.1412515, 2.0414184, -0.0000000, 5.0000000, 0.0000000
203.1282085, 3715.2566934, 73727.5871761, 2.0414184, -0.0000000, 5.0000000, 0.0000000
203.6285243, 3715.0298298, 73728.0331008, 2.0414184, -0.0000000, 5.0000000, 0.0000000
204.1288401, 3714.8029662, 73728.4790254, 2.0414184, -0.0051767, 5.0000000, 0.0000000
204.6291558, 3714.5761026, 73728.9249501, 2.0362382, -0.0135124, 5.0000000, 0.0000000
205.1294716, 3714.3538784, 73729.3731865, 2.0278980, -0.0114929, 5.0000000, 0.0000000
205.6297874, 3714.1344841, 73729.8228331, 2.0247382, -0.0031577, 5.0000000, 0.0000000
206.1301032, 3713.9150899, 73730.2724797, 2.0247382, -0.0000000, 5.0000000, 0.0000000
206.6304190, 3713.6956956, 73730.7221262, 2.0247382, 0.0000000, 5.0000000, 0.0000000
207.1307348, 3713.4763014, 73731.1717728, 2.0247382, -0.0000000, 5.0000000, 0.0000000
207.6310505, 3713.2569071, 73731.6214194, 2.0247382, 0.0036945, 5.0000000, 0.0000000
208.1313663, 3713.0375128, 73732.0710660, 2.0284350, 0.0074969, 5.0000000, 0.0000000
208.6316821, 3712.8148002, 73732.5190778, 2.0322397, -0.0014218, 5.0000000, 0.0000000
209.1319979, 3712.5919909, 73732.9670419, 2.0270122, -0.0137338, 5.0000000, 0.0000000
209.6323137, 3712.3739816, 73733.4173428, 2.0184977, -0.0110774, 5.0000000, 0.0000000
210.1326295, 3712.1588324, 73733.8690359, 2.0159279, -0.0009692, 5.0000000, 0.0000000
210.6329452, 3711.9431333, 73734.3204661, 2.0175279, 0.0025891, 5.0000000, 0.0000000
211.1332610, 3711.7265399, 73734.7714685, 2.0185187, 0.0009902, 5.0000000, 0.0000000
211.6335768, 3711.5099464, 73735.2224709, 2.0185187, -0.0000000, 5.0000000, 0.0000000
212.1338926, 3711.2933529, 73735.6734733, 2.0185187, -0.0000000, 5.0000000, 0.0000000
212.6342084, 3711.0767595, 73736.1244757, 2.0185187, -0.0000000, 5.0000000, 0.0000000
213.1345242, 3710.8601660, 73736.5754781, 2.0185187, 0.0023632, 5.0000000, 0.0000000
213.6348400, 3710.6435726, 73737.0264804, 2.0208834, 0.0053406, 5.0000000, 0.0000000
214.1351557, 3710.4248492, 73737.4764521, 2.0238626, 0.0035914, 5.0000000, 0.0000000
214.6354715, 3710.2055724, 73737.9261560, 2.0244770, 0.0006141, 5.0000000, 0.0000000
215.1357873, 3709.9862955, 73738.3758598, 2.0244770, -0.0000000, 5.0000000, 0.0000000
215.6361031, 3709.7670187, 73738.8255637, 2.0244770, 0.0000000, 5.0000000, 0.0000000
216.1364189, 3709.5477419, 73739.2752675, 2.0244770, -0.0138161, 5.0000000, 0.0000000
216.6367347, 3709.3284650, 73739.7249714, 2.0106403, -0.0809521, 5.0000000, 0.0000000
217.1370504, 3709.1220302, 73740.1799016, 1.9434128, -0.1208321, 5.0000000, 0.0000000
217.6373662, 3708.9649681, 73740.6549251, 1.8901215, -0.0533384, 5.0000000, 0.0000000
218.1376820, 3708.8079060, 73741.1299487, 1.8899005, -0.0030067, 5.0000000, 0.0000000
218.6379978, 3708.6510541, 73741.6050411, 1.8871129, -0.0053506, 5.0000000, 0.0000000
219.1383136, 3708.4966427, 73742.0809329, 1.8845465, -0.0111673, 5.0000000, 0.0000000
219.6386294, 3708.3422313, 73742.5568247, 1.8759308, -0.1149213, 5.0000000, 0.0000000
220.1389452, 3708.1962980, 73743.0344957, 1.7689469, -0.2069241, 5.0000000, 0.0000000
220.6392609, 3708.1463674, 73743.5323138, 1.6707610, -0.1067742, 5.0000000, 0.0000000
221.1395767, 3708.0964367, 73744.0301318, 1.6613892, -0.0413213, 5.0000000, 0.0000000
221.6398925, 3708.0558644, 73744.5285872, 1.6294142, -0.0591937, 5.0000000, 0.0000000
222.1402083, 3708.0378428, 73745.0285783, 1.6021821, -0.1420755, 5.0000000, 0.0000000
222.6405241, 3708.0244806, 73745.5281971, 1.4863520, -0.2292601, 5.0000000, 0.0000000
223.1408399, 3708.1216760, 73746.0189811, 1.3752850, -0.1100287, 5.0000000, 0.0000000
223.6411556, 3708.2188714, 73746.5097651, 1.3752850, -0.0465637, 5.0000000, 0.0000000
224.1414714, 3708.3160669, 73747.0005490, 1.3285713, -0.1178826, 5.0000000, 0.0000000
224.6417872, 3708.4583542, 73747.4790315, 1.2576737, -0.1048799, 5.0000000, 0.0000000
225.1421030, 3708.6238566, 73747.9511807, 1.2236829, -0.0856547, 5.0000000, 0.0000000
225.6424188, 3708.7985951, 73748.4195451, 1.1719004, -0.0936783, 5.0000000, 0.0000000
226.1427346, 3709.0120020, 73748.8720640, 1.1301276, -0.0416805, 5.0000000, 0.0000000
226.6430504, 3709.2254089, 73749.3245830, 1.1301276, -0.1686665, 5.0000000, 0.0000000
227.1433661, 3709.4388158, 73749.7771019, 0.9577574, -0.3954191, 5.0000000, 0.0000000
227.6436819, 3709.7919143, 73750.1299050, 0.7440589, -0.2592524, 5.0000000, 0.0000000
228.1439977, 3710.1733128, 73750.4532507, 0.6944793, -0.0581723, 5.0000000, 0.0000000
228.6443135, 3710.5605279, 73750.7700792, 0.6857546, -0.0132252, 5.0000000, 0.0000000
229.1446293, 3710.9477431, 73751.0869078, 0.6812425, -0.0149091, 5.0000000, 0.0000000
229.6449451, 3711.3377808, 73751.4002125, 0.6708365, -0.0563124, 5.0000000, 0.0000000
230.1452608, 3711.7315052, 73751.7089145, 0.6247447, -0.1410506, 5.0000000, 0.0000000
230.6455766, 3712.1469769, 73751.9837208, 0.5300353, -0.1493501, 5.0000000, 0.0000000
231.1458924, 3712.5916892, 73752.2129517, 0.4759380, -0.0538396, 5.0000000, 0.0000000
231.6462082, 3713.0364016, 73752.4421826, 0.4759380, 0.0000000, 5.0000000, 0.0000000
232.1465240, 3713.4811140, 73752.6714134, 0.4759380, 0.0000000, 5.0000000, 0.0000000
232.6468398, 3713.9258263, 73752.9006443, 0.4759380, -0.0000000, 5.0000000, 0.0000000
233.1471555, 3714.3705387, 73753.1298752, 0.4759380, -0.0000000, 5.0000000, 0.0000000
233.6474713, 3714.8152511, 73753.3591061, 0.4759380, 0.0000000, 5.0000000, 0.0000000
234.1477871, 3715.2599634, 73753.5883369, 0.4759380, 0.0000000, 5.0000000, 0.0000000
234.6481029, 3715.7046758, 73753.8175678, 0.4759380, 0.0000000, 5.0000000, 0.0000000
235.1484187, 3716.1493882, 73754.0467987, 0.4759380, -0.0000000, 5.0000000, 0.0000000
235.6487345, 3716.5941006, 73754.2760295, 0.4759380, -0.0000000, 5.0000000, 0.0000000
236.1490503, 3717.0388129, 73754.5052604, 0.4759380, 0.0000000, 5.0000000, 0.0000000
236.6493660, 3717.4835253, 73754.7344913, 0.4759380, 0.0000000, 5.0000000, 0.0000000
237.1496818, 3717.9282377, 73754.9637222, 0.4759380, 0.0000000, 5.0000000, 0.0000000
237.6499976, 3718.3729500, 73755.1929530, 0.4759380, -0.0000000, 5.0000000, 0.0000000
238.1503134, 3718.8176624, 73755.4221839, 0.4759380, 0.0035014, 5.0000000, 0.0000000
238.6506292, 3719.2623748, 73755.6514148, 0.4794417, 0.0075802, 5.0000000, 0.0000000
239.1509450, 3719.7054681, 73755.8837553, 0.4835228, 0.0046557, 5.0000000, 0.0000000
239.6512607, 3720.1482946, 73756.1166084, 0.4841003, 0.0005771, 5.0000000, 0.0000000
240.1515765, 3720.5911212, 73756.3494615, 0.4841003, -0.0000000, 5.0000000, 0.0000000
240.6518923, 3721.0339477, 73756.5823146, 0.4841003, 0.0000000, 5.0000000, 0.0000000
241.1522081, 3721.4767742, 73756.8151677, 0.4841003, 0.0000000, 5.0000000, 0.0000000
241.6525239, 3721.9196007, 73757.0480208, 0.4841003, 0.0000000, 5.0000000, 0.0000000
242.1528397, 3722.3624272, 73757.2808739, 0.4841003, 0.0000000, 5.0000000, 0.0000000
242.6531555, 3722.8052537, 73757.5137270, 0.4841003, -0.0000000, 5.0000000, 0.0000000
243.1534712, 3723.2480802, 73757.7465801, 0.4841003, 0.0000000, 5.0000000, 0.0000000
243.6537870, 3723.6909068, 73757.9794332, 0.4841003, 0.0000000, 5.0000000, 0.0000000
244.1541028, 3724.1337333, 73758.2122863, 0.4841003, 0.0000000, 5.0000000, 0.0000000
